LEVEL2,LEVEL1,ALTERNATIVE,STATUS,STATUS NOTE,ITEMID,MIMIC LABEL,UNITNAME,LINKSTO,COUNT,CATEGORY,CONCEPTID,FLUID,LOINC_CODE,DBSOURCE,Unnamed: 15,PARAM_TYPE,NOTE
Bilirubin,BIlirubin (urine dip),,verify,,51464,BILIRUBIN,,labevents,99679,HEMATOLOGY,,URINE,3/1/5770,,,,
Bilirubin,Bilirubin (urine),,verify,,51465,BILIRUBIN CRYSTALS,,labevents,83,HEMATOLOGY,,URINE,1/1/5771,,,,
BUN,Blood urea nitrogen,BUN,ready,,51006,UREA NITROGEN,,labevents,791925,CHEMISTRY,,BLOOD,3094-0,,,,
BUN,Blood urea nitrogen,BUN,ready,,225624,BUN,None,chartevents,152475,Labs,,,,metavision,,Numeric,
Calcium,Calcium,,ready,,50808,FREE CALCIUM,,labevents,249111,BLOOD GAS,,BLOOD,3/1/1994,,,,
Calcium,Calcium,,verify,,51066,24 HR CALCIUM,,labevents,91,CHEMISTRY,,URINE,2/1/6874,,,,
Calcium,Calcium (body fluid),,verify,,51029,"CALCIUM, BODY FLUID",,labevents,9,CHEMISTRY,,OTHER BODY FLUID,15155-5,,,,
Calcium,Calcium (total),Total Calcium,verify,,50893,"CALCIUM, TOTAL",,labevents,591999,CHEMISTRY,,BLOOD,8/1/2000,,,,
Calcium,Calcium (urine),,verify,,51077,"CALCIUM, URINE",,labevents,887,CHEMISTRY,,URINE,2004-0,,,,
Calcium,Calcium non-ionized,,verify,,225625,Calcium non-ionized,None,chartevents,135036,Labs,,,,metavision,,Numeric,
Calcium ionized,Calcium ionized,,ready,,225667,Ionized Calcium,None,chartevents,80126,Labs,,,,metavision,,Numeric,
Chloride,Chloride,,ready,,50902,CHLORIDE,,labevents,795568,CHEMISTRY,,BLOOD,2075-0,,,,
Chloride,Chloride (ascites),,verify,,50839,"CHLORIDE, ASCITES",,labevents,45,CHEMISTRY,,ASCITES,33366-6,,,,
Chloride,Chloride (body fluid),,verify,,51030,"CHLORIDE, BODY FLUID",,labevents,65,CHEMISTRY,,OTHER BODY FLUID,7/1/2072,,,,
Chloride,Chloride (pleural),,verify,,51050,"CHLORIDE, PLEURAL",,labevents,11,CHEMISTRY,,PLEURAL,53627-6,,,,
Chloride,Chloride (serum),,ready,,220602,Chloride (serum),None,chartevents,160843,Labs,,,,metavision,,Numeric,
Chloride,Chloride (stool),,verify,,51062,"CHLORIDE, STOOL",,labevents,61,CHEMISTRY,,STOOL,15158-9,,,,
Chloride,Chloride (urine),,verify,,51078,"CHLORIDE, URINE",,labevents,9607,CHEMISTRY,,URINE,4/1/2078,,,,
Chloride,Chloride (whole blood),,ready,,50806,"CHLORIDE, WHOLE BLOOD",,labevents,48187,BLOOD GAS,,BLOOD,3/1/2069,,,,
Chloride,Chloride (whole blood),,ready,,226536,Chloride (whole blood),None,chartevents,12020,Labs,,,,metavision,,Numeric,
Cholesterol,Cholesterol,,verify,,220603,Cholesterol,None,chartevents,1567,Labs,,,,metavision,,Numeric,
Cholesterol,Cholesterol (ascites),,verify,,50840,"CHOLESTEROL, ASCITES",,labevents,7,CHEMISTRY,,ASCITES,14441-0,,,,
Cholesterol,Cholesterol (body fluid),,verify,,51031,"CHOLESTEROL, BODY FLUID",,labevents,9,CHEMISTRY,,OTHER BODY FLUID,12183-0,,,,
Cholesterol,Cholesterol (HDL),HDL Cholesterol,verify,,50904,"CHOLESTEROL, HDL",,labevents,18260,CHEMISTRY,,BLOOD,9/1/2085,,,,
Cholesterol,Cholesterol (LDL),LDL Cholesterol,verify,,50905,"CHOLESTEROL, LDL, CALCULATED",,labevents,16486,CHEMISTRY,,BLOOD,9/1/2090,,,,
Cholesterol,Cholesterol (LDL),LDL Cholesterol,verify,,50906,"CHOLESTEROL, LDL, MEASURED",,labevents,2001,CHEMISTRY,,BLOOD,18262-6,,,,
Cholesterol,Cholesterol (pleural),,verify,,51051,"CHOLESTEROL, PLEURAL",,labevents,330,CHEMISTRY,,PLEURAL,9618-0,,,,
Cholesterol,Cholesterol (total),,verify,,50907,"CHOLESTEROL, TOTAL",,labevents,19444,CHEMISTRY,,BLOOD,3/1/2093,,,,
Creatinine,Creatinine,,ready,,50912,CREATININE,,labevents,797476,CHEMISTRY,,BLOOD,2160-0,,,,
Creatinine,Creatinine,,ready,,220615,Creatinine,None,chartevents,153010,Labs,,,,metavision,,Numeric,
Creatinine,Creatinine,,verify,,51067,24 HR CREATININE,,labevents,653,CHEMISTRY,,URINE,6/1/2162,,,,
Creatinine,Creatinine (ascites),,verify,,50841,"CREATININE, ASCITES",,labevents,520,CHEMISTRY,,ASCITES,12191-3,,,,
Creatinine,Creatinine (body fluid),,verify,,51032,"CREATININE, BODY FLUID",,labevents,320,CHEMISTRY,,OTHER BODY FLUID,12190-5,,,,
Creatinine,Creatinine (pleural),,verify,,51052,"CREATININE, PLEURAL",,labevents,293,CHEMISTRY,,PLEURAL,14399-0,,,,
Creatinine,Creatinine (serum),,ready,,51081,"CREATININE, SERUM",,labevents,150,CHEMISTRY,,URINE,,,,,
Creatinine,Creatinine (urine),,verify,,51082,"CREATININE, URINE",,labevents,33069,CHEMISTRY,,URINE,8/1/2161,,,,
Creatinine,Creatinine (urine),,verify,,51106,URINE CREATININE,,labevents,151,CHEMISTRY,,URINE,,,,,
Creatinine,Creatinine clearance,,verify,,51080,CREATININE CLEARANCE,,labevents,150,CHEMISTRY,,URINE,33558-8,,,,
Eosinophils,Eosinophils,,verify,,51474,EOSINOPHILS,,labevents,3365,HEMATOLOGY,,URINE,25156-1,,,,
Eosinophils,Eosinophils,,verify,,51444,EOSINOPHILS,,labevents,778,HEMATOLOGY,,PLEURAL,30379-2,,,,
Eosinophils,Eosinophils,,verify,,51419,EOSINOPHILS,,labevents,601,HEMATOLOGY,,OTHER BODY FLUID,26452-3,,,,
Eosinophils,Eosinophils,,verify,,51114,EOSINOPHILS,,labevents,566,HEMATOLOGY,,ASCITES,30380-0,,,,
Eosinophils,Eosinophils,,verify,,51368,EOSINOPHILS,,labevents,83,HEMATOLOGY,,JOINT FLUID,17834-3,,,,
Hematocrit,Hematocrit,HCT,ready,,51221,HEMATOCRIT,,labevents,881846,HEMATOLOGY,,BLOOD,3/1/4544,,,,
Hematocrit,Hematocrit,HCT,ready,,50810,"HEMATOCRIT, CALCULATED",,labevents,89715,BLOOD GAS,,BLOOD,20570-8,,,,
Hematocrit,Hematocrit (serum),HCT (serum),ready,,220545,Hematocrit (serum),None,chartevents,165862,Labs,,,,metavision,,Numeric,
Hemoglobin,Hemoglobin,,ready,,51222,HEMOGLOBIN,,labevents,752523,HEMATOLOGY,,BLOOD,718-7,,,,
Hemoglobin,Hemoglobin,,ready,,220228,Hemoglobin,g/dl,chartevents,137117,Labs,,,,metavision,,Numeric,
Hemoglobin,Hemoglobin,,verify,,50811,HEMOGLOBIN,,labevents,89712,BLOOD GAS,,BLOOD,718-7,,,,
Hemoglobin,Hemoglobin,,verify,,50852,% HEMOGLOBIN A1C,,labevents,16618,CHEMISTRY,,BLOOD,4/1/4548,,,,
Hemoglobin,Hemoglobin,,verify,,50855,ABSOLUTE HEMOGLOBIN,,labevents,3791,CHEMISTRY,,BLOOD,718-7,,,,
Lactate,Lactate,,ready,,50813,LACTATE,,labevents,187124,BLOOD GAS,,BLOOD,32693-4,,,,
LDH,Lactate dehydrogenase,LDH,ready,,50954,LACTATE DEHYDROGENASE (LD),,labevents,107122,CHEMISTRY,,BLOOD,2532-0,,,,
LDH,Lactate dehydrogenase,LDH,verify,,51054,"LACTATE DEHYDROGENASE, PLEURAL",,labevents,2502,CHEMISTRY,,PLEURAL,4/1/2530,,,,
Lactic acid,Lactic acid,,verify,,225668,Lactic Acid,None,chartevents,69432,Labs,,,,metavision,,Numeric,
Lymphocytes,Lymphocytes,,verify,,51244,LYMPHOCYTES,,labevents,172149,HEMATOLOGY,,BLOOD,731-0,,,,
Lymphocytes,Lymphocytes,,verify,,51116,LYMPHOCYTES,,labevents,3346,HEMATOLOGY,,ASCITES,26482-0,,,,
Lymphocytes,Lymphocytes,,verify,,51446,LYMPHOCYTES,,labevents,2613,HEMATOLOGY,,PLEURAL,26481-2,,,,
Lymphocytes,Lymphocytes,,verify,,51427,LYMPHOCYTES,,labevents,1969,HEMATOLOGY,,OTHER BODY FLUID,11031-2,,,,
Lymphocytes,Lymphocytes,,verify,,51375,LYMPHOCYTES,,labevents,683,HEMATOLOGY,,JOINT FLUID,26483-8,,,,
Lymphocytes,Lymphocytes (absolute),,verify,,51133,ABSOLUTE LYMPHOCYTE COUNT,,labevents,2377,HEMATOLOGY,,BLOOD,26474-7,,,,
Lymphocytes,Lymphocytes (atypical),,verify,,51143,ATYPICAL LYMPHOCYTES,,labevents,59335,HEMATOLOGY,,BLOOD,733-6,,,,
Lymphocytes,Lymphocytes (atypical),,verify,,51110,ATYPICAL LYMPHOCYTES,,labevents,160,HEMATOLOGY,,ASCITES,33369-0,,,,
Lymphocytes,Lymphocytes (atypical),,verify,,51440,ATYPICAL LYMPHOCYTES,,labevents,159,HEMATOLOGY,,PLEURAL,33370-8,,,,
Lymphocytes,Lymphocytes (atypical),,verify,,51385,ATYPICAL LYMPHOCYTES,,labevents,68,HEMATOLOGY,,OTHER BODY FLUID,30417-0,,,,
Lymphocytes,Lymphocytes (atypical),,verify,,51365,ATYPICAL LYMPHOCYTES,,labevents,17,HEMATOLOGY,,JOINT FLUID,33371-6,,,,
Lymphocytes,Lymphocytes (percent),,verify,,51245,"LYMPHOCYTES, PERCENT",,labevents,2378,HEMATOLOGY,,BLOOD,26478-8,,,,
Magnesium,Magnesium,Mg,ready,,50960,MAGNESIUM,,labevents,664191,CHEMISTRY,,BLOOD,3/1/2601,,,,
Magnesium,Magnesium,Mg,ready,,220635,Magnesium,None,chartevents,147786,Labs,,,,metavision,,Numeric,
Mean corpuscular hemoglobin,Mean corpuscular hemoglobin,MCH,verify,,51248,MCH,,labevents,748073,HEMATOLOGY,,BLOOD,785-6,,,,
Mean corpuscular hemoglobin concentration,Mean corpuscular hemoglobin concentration,MCHC,verify,,51249,MCHC,,labevents,748226,HEMATOLOGY,,BLOOD,786-4,,,,
Mean corpuscular volume,Mean corpuscular volume,MCV,verify,,51250,MCV,,labevents,748056,HEMATOLOGY,,BLOOD,787-2,,,,
Monocytes,Monocytes,,verify,,51254,MONOCYTES,,labevents,172148,HEMATOLOGY,,BLOOD,742-7,,,,
Neutrophils,Neutrophils,,verify,,51256,NEUTROPHILS,,labevents,172149,HEMATOLOGY,,BLOOD,761-7,,,,
Partial pressure of carbon dioxide,Partial pressure of carbon dioxide,PaCO2,ready,,50818,PCO2,,labevents,490638,BLOOD GAS,,BLOOD,11557-6,,,,
Partial pressure of carbon dioxide,Partial pressure of carbon dioxide (arterial),PaCO2 (arterial),ready,,220235,Arterial CO2 Pressure,mmHg,chartevents,140215,Labs,,,,metavision,,Numeric,
PTT,Partial thromboplastin time,Serum,ready,,51275,PTT,,labevents,474937,HEMATOLOGY,,BLOOD,2/1/3173,,,,
PTT,Partial thromboplastin time,PTT,ready,,227466,PTT,None,chartevents,99769,Labs,,,,metavision,,Numeric with tag,
Phosphate,Phosphate,,verify,,50970,PHOSPHATE,,labevents,590568,CHEMISTRY,,BLOOD,1/1/2777,,,,
Platelets,Platelets,Platelet count,ready,,51265,PLATELET COUNT,,labevents,778444,HEMATOLOGY,,BLOOD,777-3,,,,
Platelets,Platelets,Platelet count,ready,,227457,Platelet Count,None,chartevents,137454,Labs,,,,metavision,,Numeric with tag,
PEEP,Positive end-expiratory pressure,PEEP,ready,,50819,PEEP,,labevents,86921,BLOOD GAS,,BLOOD,20077-4,,,,
PEEP,Positive end-expiratory pressure (total),PEEP (total),verify,,224700,Total PEEP Level,cmH2O,chartevents,44275,Respiratory,,,,metavision,,Numeric,
Potassium,Potassium,K,ready,,50971,POTASSIUM,,labevents,845825,CHEMISTRY,,BLOOD,3/1/2823,,,,
Potassium,Potassium (serum),K (serum),ready,,227442,Potassium (serum),None,chartevents,165813,Labs,,,,metavision,,Numeric with tag,
Potassium,Potassium (whole blood),K (whole blood),ready,,50822,"POTASSIUM, WHOLE BLOOD",,labevents,192946,BLOOD GAS,,BLOOD,4/1/6298,,,,
Potassium,Potassium (whole blood),K (whole blood),ready,,227464,Potassium (whole blood),None,chartevents,49112,Labs,,,,metavision,,Numeric with tag,
INR,International Normalized Ratio,INR,ready,,51237,INR(PT),,labevents,471183,HEMATOLOGY,,BLOOD,7/1/5895,,,,
PT,Prothrombin time,PT,ready,,51274,PT,,labevents,469090,HEMATOLOGY,,BLOOD,2/1/5902,,,,
INR,International Normalized Ratio,INR,ready,,227467,INR,None,chartevents,93040,Labs,,,,metavision,,Numeric with tag,
PT,Prothrombin time,PT,ready,,227465,Prothrombin time,None,chartevents,93030,Labs,,,,metavision,,Numeric with tag,
Red blood cell count,Red blood cell count,RBC,verify,,51279,RED BLOOD CELLS,,labevents,748078,HEMATOLOGY,,BLOOD,789-8,,,,
Red blood cell count,Red blood cell count,RBC,verify,,51493,RBC,,labevents,84285,HEMATOLOGY,,URINE,1/1/5808,,,,
Red blood cell count,Red blood cell count (ascites),RBC,verify,,51127,"RBC, ASCITES",,labevents,3280,HEMATOLOGY,,ASCITES,26457-2,,,,
Red blood cell count,Red blood cell count (fragments),RBC,verify,,51278,RED BLOOD CELL FRAGMENTS,,labevents,3876,HEMATOLOGY,,BLOOD,,,,,
Red blood cell count,Red blood cell count (joint fluid),RBC,verify,,51383,"RBC, JOINT FLUID",,labevents,611,HEMATOLOGY,,JOINT FLUID,26458-0,,,,
Red blood cell count,Red blood cell count (other fluid),RBC,verify,,51438,"RBC, OTHER FLUID",,labevents,1368,HEMATOLOGY,,OTHER BODY FLUID,26455-6,,,,
Red blood cell count,Red blood cell count (pleural),RBC,verify,,51457,"RBC, PLEURAL",,labevents,2446,HEMATOLOGY,,PLEURAL,26456-4,,,,
Sodium,Sodium,Na,ready,,50983,SODIUM,,labevents,808489,CHEMISTRY,,BLOOD,2/1/2951,,,,
Sodium,Sodium (serum),Na (serum),ready,,220645,Sodium (serum),None,chartevents,162677,Labs,,,,metavision,,Numeric,
Sodium,Sodium (whole blood),Na (whole blood),ready,,50824,"SODIUM, WHOLE BLOOD",,labevents,71503,BLOOD GAS,,BLOOD,2947-0,,,,
Sodium,Sodium (whole blood),Na (whole blood),ready,,226534,Sodium (whole blood),None,chartevents,16627,Labs,,,,metavision,,Numeric,
Troponin-T,Troponin-T,TropT,ready,,51003,TROPONIN T,,labevents,87244,CHEMISTRY,,BLOOD,7/1/6598,,,,
Troponin-T,Troponin-T,TropT,ready,,227429,Troponin-T,None,chartevents,23324,Labs,,,,metavision,,Numeric with tag,
Urine output,Urine output (foley),,ready,,226559,Foley,mL,outputevents,1186717,Output,,,,metavision,,Numeric,
WBC,White blood cell count,WBC,ready,,51301,WHITE BLOOD CELLS,,labevents,753301,HEMATOLOGY,,BLOOD,804-5,,,,
WBC,White blood cell count,WBC,ready,,220546,WBC,None,chartevents,133356,Labs,,,,metavision,,Numeric,
WBC,White blood cell count,WBC,verify,,51516,WBC,,labevents,84688,HEMATOLOGY,,URINE,4/1/5821,,,,
WBC,White blood cell count,WBC,verify,,51300,WBC COUNT,,labevents,2371,HEMATOLOGY,,BLOOD,26464-8,,,,
Diastolic blood pressure,Diastolic blood pressure (arterial),ABPd,ready,,220051,Arterial Blood Pressure diastolic,mmHg,chartevents,1149537,Routine Vital Signs,,,,metavision,,Numeric,
Diastolic blood pressure,Diastolic blood pressure (arterial),ABPd,ready,,225310,ART BP Diastolic,mmHg,chartevents,86507,Routine Vital Signs,,,,metavision,,Numeric,
Diastolic blood pressure,Diastolic blood pressure (noninvasive),NBPd,ready,,220180,Non Invasive Blood Pressure diastolic,mmHg,chartevents,1289885,Routine Vital Signs,,,,metavision,,Numeric,
Diastolic blood pressure,Diastolic blood pressure (noninvasive),NBPd,ready,,224643,Manual Blood Pressure Diastolic Left,mmHg,chartevents,671,Routine Vital Signs,,,,metavision,,Numeric,
FiO2,Fraction inspired oxygen,FiO2,ready,requires unit conversion or checking,223835,Inspired O2 Fraction,None,chartevents,558061,Respiratory,,,,metavision,,Numeric,
Glascow coma scale eye opening,Glascow coma scale eye opening,GCS eye,,should we just add these up?,220739,GCS - Eye Opening,,chartevents,571383,Neurological,,,,metavision,,Text,
Glascow coma scale motor response,Glascow coma scale motor response,GCS motor,,should we just add these up?,223901,GCS - Motor Response,,chartevents,569369,Neurological,,,,metavision,,Text,
Glascow coma scale verbal response,Glascow coma scale verbal response,GCS verbal,,should we just add these up?,223900,GCS - Verbal Response,,chartevents,569810,Neurological,,,,metavision,,Text,
Glucose,Glucose,Glucose,ready,,50931,GLUCOSE,,labevents,748981,CHEMISTRY,,BLOOD,7/1/2345,,,,
Glucose,Glucose,,ready,,50809,GLUCOSE,,labevents,196734,BLOOD GAS,,BLOOD,2339-0,,,,
Glucose,Glucose,,ready,,51478,GLUCOSE,,labevents,101279,HEMATOLOGY,,URINE,7/1/5792,,,,
Glucose,Glucose (finger stick),,ready,,225664,Glucose finger stick,None,chartevents,247833,Labs,,,,metavision,,Numeric,
Glucose,Glucose (serum),,ready,,220621,Glucose (serum),None,chartevents,155071,Labs,,,,metavision,,Numeric,
Glucose,Glucose (whole blood),,ready,,226537,Glucose (whole blood),None,chartevents,71057,Labs,,,,metavision,,Numeric,
Heart Rate,Heart Rate,HR,ready,,220045,Heart Rate,bpm,chartevents,2762225,Routine Vital Signs,,,,metavision,,Numeric,
Height,Height,Height,verify,requires unit conversion or checking,226707,Height,Inch,chartevents,12015,General,,,,metavision,,Numeric,
Height,Height (cm),Height (cm),verify,requires unit conversion or checking,226730,Height (cm),cm,chartevents,12015,General,,,,metavision,,Numeric,
Mean blood pressure,Mean blood pressure (arterial),ABPm,ready,,220052,Arterial Blood Pressure mean,mmHg,chartevents,1156173,Routine Vital Signs,,,,metavision,,Numeric,
Mean blood pressure,Mean blood pressure (arterial),ABPm,ready,,225312,ART BP mean,mmHg,chartevents,87182,Routine Vital Signs,,,,metavision,,Numeric,
Mean blood pressure,Mean blood pressure (arterial),ABPm,ready,,224322,IABP Mean,mmHg,chartevents,8448,IABP,,,,metavision,,Numeric,
Mean blood pressure,Mean blood pressure (noninvasive),NBPm,ready,,220181,Non Invasive Blood Pressure mean,mmHg,chartevents,1292916,Routine Vital Signs,,,,metavision,,Numeric,
Oxygen saturation,Oxygen saturation,SaO2,ready,,50817,OXYGEN SATURATION,,labevents,173419,BLOOD GAS,,BLOOD,20564-1,,,,
Oxygen saturation,Oxygen saturation (arterial),SaO2,ready,,220227,Arterial O2 Saturation,%,chartevents,40009,Labs,,,,metavision,,Numeric,
Oxygen saturation,Pulse oximetry,SpO2,ready,,220277,O2 saturation pulseoxymetry,%,chartevents,2671816,Respiratory,,,,metavision,,Numeric,
pH,pH,,ready,,50820,PH,,labevents,530795,BLOOD GAS,,BLOOD,11558-4,,,,
pH,pH,,ready,,51491,PH,,labevents,116089,HEMATOLOGY,,URINE,2/1/5803,,,,
pH,pH,,ready,,50831,PH,,labevents,1442,BLOOD GAS,,OTHER BODY FLUID,2/1/2748,,,,
pH,pH,,ready,,51094,PH,,labevents,1157,CHEMISTRY,,URINE,5/1/2756,,,,
pH,pH (arterial),,ready,,223830,PH (Arterial),None,chartevents,144429,Labs,,,,metavision,,Numeric,
pH,pH (venous),,ready,,220274,PH (Venous),None,chartevents,8764,Labs,,,,metavision,,Numeric,
Respiratory rate,Respiratory rate,RR,ready,,220210,Respiratory Rate,insp/min,chartevents,2737105,Respiratory,,,,metavision,,Numeric,
Respiratory rate,Respiratory rate (spontaneous),RR (spontaneous),ready,,224689,Respiratory Rate (spontaneous),insp/min,chartevents,452937,Respiratory,,,,metavision,,Numeric,
Respiratory rate,Respiratory rate (spontaneous),RR (spontaneous),ready,,224422,Spont RR,bpm,chartevents,16463,Respiratory,,,,metavision,,Numeric,
Respiratory rate,Respiratory rate (total),RR (total),ready,,224690,Respiratory Rate (Total),insp/min,chartevents,399752,Respiratory,,,,metavision,,Numeric,
Systolic blood pressure,Systolic blood pressure (arterial),ABPs,ready,,220050,Arterial Blood Pressure systolic,mmHg,chartevents,1149788,Routine Vital Signs,,,,metavision,,Numeric,
Systolic blood pressure,Systolic blood pressure (arterial),ABPs,ready,,225309,ART BP Systolic,mmHg,chartevents,86557,Routine Vital Signs,,,,metavision,,Numeric,
Systolic blood pressure,Systolic blood pressure (noninvasive),NBPs,ready,,220179,Non Invasive Blood Pressure systolic,mmHg,chartevents,1290488,Routine Vital Signs,,,,metavision,,Numeric,
Systolic blood pressure,Systolic blood pressure (noninvasive),NBPs,ready,,224167,Manual Blood Pressure Systolic Left,mmHg,chartevents,740,Routine Vital Signs,,,,metavision,,Numeric,
Systolic blood pressure,Systolic blood pressure (noninvasive),NBPs,ready,,227243,Manual Blood Pressure Systolic Right,mmHg,chartevents,541,Routine Vital Signs,,,,metavision,,Numeric,
Temperature,Temperature (C),,ready,requires unit conversion or checking,223762,Temperature Celsius,?C,chartevents,74144,Routine Vital Signs,,,,metavision,,Numeric,
Temperature,Temperature (F),,ready,requires unit conversion or checking,223761,Temperature Fahrenheit,?F,chartevents,522143,Routine Vital Signs,,,,metavision,,Numeric,
Weight,Weight (daily),,ready,requires unit conversion or checking,224639,Daily Weight,kg,chartevents,46452,General,,,,metavision,,Numeric,
Weight,"Weight (kg, admission)",Admission Weight (Kg),ready,requires unit conversion or checking,226512,Admission Weight (Kg),kg,chartevents,22604,General,,,,metavision,,Numeric,
Weight,"Weight (lbs, admission)",Admission Weight (lbs.),ready,requires unit conversion or checking,226531,Admission Weight (lbs.),None,chartevents,46255,General,,,,metavision,,Numeric,
CO2,"CO2 (ETCO2, PCO2, etc.)",,ready,,50804,CALCULATED TOTAL CO2,,labevents,490685,BLOOD GAS,,BLOOD,6/1/1959,,,,
CO2,"CO2 (ETCO2, PCO2, etc.)",TCO2 (calc) Arterial,ready,,225698,TCO2 (calc) Arterial,None,chartevents,140179,Labs,,,,metavision,,Numeric,
CO2,"CO2 (ETCO2, PCO2, etc.)",TCO2 (calc) Venous,ready,,223679,TCO2 (calc) Venous,None,chartevents,4318,Labs,,,,metavision,,Numeric,
CO2,"CO2 (ETCO2, PCO2, etc.)",PCO2 (Venous),maybe,,226062,Venous CO2 Pressure,mmHg,chartevents,4312,Labs,,,,metavision,,Numeric,
Urine output,Urine output,OR Urine,ready,,226627,OR Urine,mL,outputevents,5928,Output,,,,metavision,,Numeric,
Weight,Weight,Unintentional weight loss >10 lbs.,ignore,,225124,Unintentional weight loss >10 lbs.,,chartevents,29601,Adm History/FHPA,,,,metavision,,Checkbox,
Weight,Weight,Feeding Weight,ignore,,226846,Feeding Weight,kg,chartevents,6018,General,,,,metavision,,Numeric,
,,,,,51277,RDW,,labevents,746896,HEMATOLOGY,,BLOOD,788-0,,,,
,,Alarms On,,,224641,Alarms On,,chartevents,517300,Alarms,,,,metavision,,Checkbox,
